cluster	score	cell_type	markers
9	0.002246077	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
10	0.014651202	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
11	0.002300702	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
12	0.007549519	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
13	0.054121394	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
14	0.0026462784	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
15	0.011122804	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
16	0.0046088872	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
17	0.007781548	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
18	0.010888998	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
19	0.011208795	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
20	0.00092590036	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
21	0.0013551231	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
22	0.031084485	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
23	0.0069681136	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
24	0.0065202215	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
25	0.049075186	Schwann cell	MPZ,PLP1,SOX10,NGFR,GAP43,CDH19
0	0.0042394744	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
1	0.001885757	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
2	0.0034945854	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
3	0.0030403761	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
4	0.0022858456	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
5	0.003997145	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
6	0.003944336	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
7	0.002965924	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
8	0.07963371	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
9	0.0052730246	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
10	0.0029778385	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
11	0.0020355382	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
12	0.0094611375	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
13	0.010264881	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
14	0.002415645	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
15	0.024882853	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
16	0.010408767	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
17	0.0014321023	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
18	0.0016953181	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
19	0.016376607	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
20	0.009274589	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
21	0.0	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
22	0.0013451123	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
23	0.008438733	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
24	0.0039700824	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
25	0.0150672095	Pericyte	RGS5,CSPG4,PDGFRB,ACTA2,NOTCH3,DES,KCNJ8
0	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
1	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
2	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
3	0.00027712705	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
4	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
5	0.0003090528	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
6	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
7	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
8	0.0006668504	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
9	0.00026220045	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
10	0.00042742607	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
11	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
12	0.0008121486	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
13	0.00049593765	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
14	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
15	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
16	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
17	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
18	0.0017660691	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
19	0.0044805566	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
20	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
21	0.0023944234	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
22	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
23	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
24	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
25	0.0	B cell	CD79A,CD79B,MS4A1,CD19,PAX5
0	0.051322658	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
1	0.046542518	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
2	0.052284785	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
3	0.052696023	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
4	0.04685557	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
5	0.049177125	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
6	0.050819818	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
7	0.04583232	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
8	0.16478734	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
9	0.04789618	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
10	0.060706876	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
11	0.051374342	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
12	0.035056792	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
13	0.0670692	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
14	0.03912454	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
15	0.043058466	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
16	0.059716243	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
17	0.060296156	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
18	0.035672303	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
19	0.06606086	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
20	0.055875298	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
21	0.03423961	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
22	0.046344113	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
23	0.05841053	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
24	0.15412164	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
25	0.032749128	fibroblast	COL1A1,DCN,VIM,COL3A1,PDGFRA,FBLN1,LUM
0	0.16087587	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
1	0.14874078	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
2	0.1654404	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
3	0.14977202	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
4	0.1461827	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
5	0.14927167	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
6	0.15239514	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
7	0.14345086	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
8	1.1683315	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
9	0.15460311	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
10	0.1644119	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
11	0.14711747	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
12	0.11224286	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
13	0.30894172	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
14	0.117423326	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
15	0.20310426	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
16	0.16657285	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
17	0.15212306	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
18	0.1257353	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
19	0.26964617	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
20	0.12969169	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
21	0.10664703	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
22	0.13683584	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
23	0.14743228	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
24	0.20972912	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
25	0.1216152	muller glia cell	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2
0	0.00473625	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
1	0.0027846699	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
2	0.004493064	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
3	0.0036301655	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
4	0.0036117234	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
5	0.0037311951	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
6	0.003591725	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
7	0.0063315267	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
8	0.31056866	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
9	0.0041240486	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
10	0.0065736575	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
11	0.0041406057	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
12	0.049924426	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
13	0.0059372685	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
14	0.1623518	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
15	0.002712351	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
16	0.014235926	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
17	0.020168023	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
18	0.005232343	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
19	0.03664658	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
20	0.049651228	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
21	0.004114809	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
22	0.00234875	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
23	0.01163882	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
24	0.008578302	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
25	0.0	endothelial cell	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
