rank	direction	gene	sample1_cpm	sample2_cpm	log2fc_sample2_vs_sample1	sample1_detect_frac	sample2_detect_frac	detection_fraction_difference
121	down_in_sample2	AC011383.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
122	down_in_sample2	KIF4B	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
123	down_in_sample2	CPA5	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
124	down_in_sample2	AC131254.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
125	down_in_sample2	AC016813.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
126	down_in_sample2	AC105031.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
127	down_in_sample2	AL450313.1	0.25971	0	-4.75334	0.000635424940428912	0	-0.000635424940428912
128	down_in_sample2	SLC22A11	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
129	down_in_sample2	AC024941.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
130	down_in_sample2	AC008149.2	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
131	down_in_sample2	AC131212.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
132	down_in_sample2	COX8C	0.25971	0	-4.75334	0.000635424940428912	0	-0.000635424940428912
133	down_in_sample2	AC004706.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
134	down_in_sample2	AC138761.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
135	down_in_sample2	BIRC5	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
136	down_in_sample2	AC090365.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
137	down_in_sample2	PEAK3	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
138	down_in_sample2	EBI3	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
139	down_in_sample2	AC022517.1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
140	down_in_sample2	HOMER3-AS1	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
141	down_in_sample2	LINC01722	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
142	down_in_sample2	IGLV1-41	0.25971	0	-4.75334	0.00079428117553614	0	-0.00079428117553614
143	down_in_sample2	EGR2	4.05148	0.14153	-4.74438	0.00921366163621922	0.000599520383693046	-0.00861414125252618
144	down_in_sample2	LINC02463	1.45438	0.04718	-4.67876	0.0039714058776807	0.000199840127897682	-0.00377156574978302
145	down_in_sample2	SDS	6.28498	0.23588	-4.6782	0.0114376489277204	0.000799360511590727	-0.0106382884161297
146	down_in_sample2	FOSL1	6.23304	0.23588	-4.66625	0.00984908657664813	0.000999200639488409	-0.00884988593715972
147	down_in_sample2	SLCO1B1	1.29855	0.04718	-4.51644	0.00333598093725179	0.000199840127897682	-0.00313614080935411
148	down_in_sample2	DND1	6.49275	0.28305	-4.47183	0.0196981731532963	0.00119904076738609	-0.0184991323859102
149	down_in_sample2	LINC01679	2.28545	0.09435	-4.45927	0.00603653693407466	0.000399680255795364	-0.0056368566782793
150	down_in_sample2	AC009093.4	1.24661	0.04718	-4.45801	0.00349483717235902	0.000199840127897682	-0.00329499704446133
