kind	sample	cell_type	gene	metric	value
panel	individual_2	RPE cell	ALL	mean_normscore	3.2750448
gene	individual_2	cone cell	ARR3	positive_fraction	0.11630695
gene	individual_2	cone cell	ARR3	total_counts	3429
gene	individual_2	cone cell	GNAT2	positive_fraction	0.03057554
gene	individual_2	cone cell	GNAT2	total_counts	262
gene	individual_2	cone cell	PDE6C	positive_fraction	0.047961631
gene	individual_2	cone cell	PDE6C	total_counts	555
gene	individual_2	cone cell	PDE6H	positive_fraction	0.29336531
gene	individual_2	cone cell	PDE6H	total_counts	6022
gene	individual_2	cone cell	GNGT2	positive_fraction	0.059152678
gene	individual_2	cone cell	GNGT2	total_counts	564
gene	individual_2	cone cell	OPN1LW	positive_fraction	0.080535572
gene	individual_2	cone cell	OPN1LW	total_counts	1333
gene	individual_2	cone cell	OPN1MW	positive_fraction	0.01578737
gene	individual_2	cone cell	OPN1MW	total_counts	212
gene	individual_2	cone cell	GUCA1C	positive_fraction	0.18105516
gene	individual_2	cone cell	GUCA1C	total_counts	2195
panel	individual_2	cone cell	ALL	positive_1_fraction	0.48001599
panel	individual_2	cone cell	ALL	positive_1_cells	2402
panel	individual_2	cone cell	ALL	positive_2_fraction	0.15707434
panel	individual_2	cone cell	ALL	positive_2_cells	786
panel	individual_2	cone cell	ALL	positive_3_fraction	0.06314948
panel	individual_2	cone cell	ALL	positive_3_cells	316
panel	individual_2	cone cell	ALL	normscore_ge_1_fraction	0.4666267
panel	individual_2	cone cell	ALL	normscore_ge_5_fraction	0.17466027
panel	individual_2	cone cell	ALL	normscore_ge_10_fraction	0.072741807
panel	individual_2	cone cell	ALL	mean_normscore	5.4752421
gene	individual_2	rod cell	RHO	positive_fraction	0.84372502
gene	individual_2	rod cell	RHO	total_counts	25873
gene	individual_2	rod cell	GNAT1	positive_fraction	0.76498801
gene	individual_2	rod cell	GNAT1	total_counts	20243
gene	individual_2	rod cell	NRL	positive_fraction	0.8381295
gene	individual_2	rod cell	NRL	total_counts	20519
gene	individual_2	rod cell	PDE6A	positive_fraction	0.73461231
gene	individual_2	rod cell	PDE6A	total_counts	62252
gene	individual_2	rod cell	PDE6B	positive_fraction	0.55215827
gene	individual_2	rod cell	PDE6B	total_counts	6129
gene	individual_2	rod cell	CNGA1	positive_fraction	0.6314948
gene	individual_2	rod cell	CNGA1	total_counts	10036
gene	individual_2	rod cell	GNGT1	positive_fraction	0.93465228
gene	individual_2	rod cell	GNGT1	total_counts	34217
gene	individual_2	rod cell	ROM1	positive_fraction	0.80255795
gene	individual_2	rod cell	ROM1	total_counts	18751
panel	individual_2	rod cell	ALL	positive_1_fraction	0.99440448
panel	individual_2	rod cell	ALL	positive_1_cells	4976
panel	individual_2	rod cell	ALL	positive_2_fraction	0.96582734
panel	individual_2	rod cell	ALL	positive_2_cells	4833
panel	individual_2	rod cell	ALL	positive_3_fraction	0.90007994
panel	individual_2	rod cell	ALL	positive_3_cells	4504
panel	individual_2	rod cell	ALL	normscore_ge_1_fraction	0.99380496
panel	individual_2	rod cell	ALL	normscore_ge_5_fraction	0.94584333
panel	individual_2	rod cell	ALL	normscore_ge_10_fraction	0.85271783
panel	individual_2	rod cell	ALL	mean_normscore	119.56563
gene	individual_2	horizontal cell	LHX1	positive_fraction	0.00079936051
gene	individual_2	horizontal cell	LHX1	total_counts	4
gene	individual_2	horizontal cell	ONECUT1	positive_fraction	0.020583533
gene	individual_2	horizontal cell	ONECUT1	total_counts	279
gene	individual_2	horizontal cell	ONECUT2	positive_fraction	0.014588329
gene	individual_2	horizontal cell	ONECUT2	total_counts	115
gene	individual_2	horizontal cell	PROX1	positive_fraction	0.12769784
gene	individual_2	horizontal cell	PROX1	total_counts	1525
gene	individual_2	horizontal cell	CALB1	positive_fraction	0.055355715
gene	individual_2	horizontal cell	CALB1	total_counts	567
gene	individual_2	horizontal cell	GAD1	positive_fraction	0.044364508
gene	individual_2	horizontal cell	GAD1	total_counts	933
panel	individual_2	horizontal cell	ALL	positive_1_fraction	0.21802558
panel	individual_2	horizontal cell	ALL	positive_1_cells	1091
panel	individual_2	horizontal cell	ALL	positive_2_fraction	0.035371703
panel	individual_2	horizontal cell	ALL	positive_2_cells	177
panel	individual_2	horizontal cell	ALL	positive_3_fraction	0.0075939249
panel	individual_2	horizontal cell	ALL	positive_3_cells	38
panel	individual_2	horizontal cell	ALL	normscore_ge_1_fraction	0.20943245
panel	individual_2	horizontal cell	ALL	normscore_ge_5_fraction	0.077138289
panel	individual_2	horizontal cell	ALL	normscore_ge_10_fraction	0.024380496
panel	individual_2	horizontal cell	ALL	mean_normscore	1.0872296
gene	individual_2	bipolar cell	VSX2	positive_fraction	0.13469225
gene	individual_2	bipolar cell	VSX2	total_counts	1272
gene	individual_2	bipolar cell	GRM6	positive_fraction	0.10391687
gene	individual_2	bipolar cell	GRM6	total_counts	2119
gene	individual_2	bipolar cell	TRPM1	positive_fraction	0.11510791
gene	individual_2	bipolar cell	TRPM1	total_counts	3947
gene	individual_2	bipolar cell	CABP5	positive_fraction	0.55155875
gene	individual_2	bipolar cell	CABP5	total_counts	5850
gene	individual_2	bipolar cell	PCP4	positive_fraction	0.33213429
gene	individual_2	bipolar cell	PCP4	total_counts	5184
gene	individual_2	bipolar cell	PRKCA	positive_fraction	0.49000799
gene	individual_2	bipolar cell	PRKCA	total_counts	8173
gene	individual_2	bipolar cell	OTX2	positive_fraction	0.59592326
gene	individual_2	bipolar cell	OTX2	total_counts	6360
panel	individual_2	bipolar cell	ALL	positive_1_fraction	0.93345324
panel	individual_2	bipolar cell	ALL	positive_1_cells	4671
panel	individual_2	bipolar cell	ALL	positive_2_fraction	0.69504396
panel	individual_2	bipolar cell	ALL	positive_2_cells	3478
panel	individual_2	bipolar cell	ALL	positive_3_fraction	0.38309353
panel	individual_2	bipolar cell	ALL	positive_3_cells	1917
panel	individual_2	bipolar cell	ALL	normscore_ge_1_fraction	0.92985612
panel	individual_2	bipolar cell	ALL	normscore_ge_5_fraction	0.78517186
panel	individual_2	bipolar cell	ALL	normscore_ge_10_fraction	0.55735412
panel	individual_2	bipolar cell	ALL	mean_normscore	16.173606
gene	individual_2	RGC	RBPMS	positive_fraction	0.052957634
gene	individual_2	RGC	RBPMS	total_counts	2055
gene	individual_2	RGC	SNCG	positive_fraction	0.1942446
gene	individual_2	RGC	SNCG	total_counts	2250
gene	individual_2	RGC	POU4F1	positive_fraction	0.0071942446
gene	individual_2	RGC	POU4F1	total_counts	48
gene	individual_2	RGC	POU4F2	positive_fraction	0.0063948841
gene	individual_2	RGC	POU4F2	total_counts	40
gene	individual_2	RGC	THY1	positive_fraction	0.089328537
gene	individual_2	RGC	THY1	total_counts	989
gene	individual_2	RGC	NEFL	positive_fraction	0.11470823
gene	individual_2	RGC	NEFL	total_counts	3310
gene	individual_2	RGC	NEFM	positive_fraction	0.058553157
gene	individual_2	RGC	NEFM	total_counts	1726
panel	individual_2	RGC	ALL	positive_1_fraction	0.35151878
panel	individual_2	RGC	ALL	positive_1_cells	1759
panel	individual_2	RGC	ALL	positive_2_fraction	0.090727418
panel	individual_2	RGC	ALL	positive_2_cells	454
panel	individual_2	RGC	ALL	positive_3_fraction	0.03077538
panel	individual_2	RGC	ALL	positive_3_cells	154
panel	individual_2	RGC	ALL	normscore_ge_1_fraction	0.34492406
panel	individual_2	RGC	ALL	normscore_ge_5_fraction	0.086730616
panel	individual_2	RGC	ALL	normscore_ge_10_fraction	0.03157474
panel	individual_2	RGC	ALL	mean_normscore	2.2762931
gene	individual_2	T cells	CD3D	positive_fraction	0
gene	individual_2	T cells	CD3D	total_counts	0
gene	individual_2	T cells	CD3E	positive_fraction	0
gene	individual_2	T cells	CD3E	total_counts	0
gene	individual_2	T cells	CD3G	positive_fraction	0.00019984013
gene	individual_2	T cells	CD3G	total_counts	1
gene	individual_2	T cells	TRBC1	positive_fraction	0.00019984013
gene	individual_2	T cells	TRBC1	total_counts	1
gene	individual_2	T cells	TRBC2	positive_fraction	0.0027977618
gene	individual_2	T cells	TRBC2	total_counts	15
gene	individual_2	T cells	LCK	positive_fraction	0
gene	individual_2	T cells	LCK	total_counts	0
gene	individual_2	T cells	IL7R	positive_fraction	0
gene	individual_2	T cells	IL7R	total_counts	0
panel	individual_2	T cells	ALL	positive_1_fraction	0.003197442
panel	individual_2	T cells	ALL	positive_1_cells	16
panel	individual_2	T cells	ALL	positive_2_fraction	0
panel	individual_2	T cells	ALL	positive_2_cells	0
panel	individual_2	T cells	ALL	positive_3_fraction	0
panel	individual_2	T cells	ALL	positive_3_cells	0
panel	individual_2	T cells	ALL	normscore_ge_1_fraction	0.0025979217
panel	individual_2	T cells	ALL	normscore_ge_5_fraction	0
panel	individual_2	T cells	ALL	normscore_ge_10_fraction	0
panel	individual_2	T cells	ALL	mean_normscore	0.0059895701
gene	individual_2	macrophage	LYZ	positive_fraction	0.0011990408
gene	individual_2	macrophage	LYZ	total_counts	6
gene	individual_2	macrophage	CD68	positive_fraction	0.00059952038
gene	individual_2	macrophage	CD68	total_counts	3
gene	individual_2	macrophage	FCGR3A	positive_fraction	0.00079936051
gene	individual_2	macrophage	FCGR3A	total_counts	4
gene	individual_2	macrophage	CTSD	positive_fraction	0.14568345
gene	individual_2	macrophage	CTSD	total_counts	1015
gene	individual_2	macrophage	APOC1	positive_fraction	0.023381295
gene	individual_2	macrophage	APOC1	total_counts	135
gene	individual_2	macrophage	SPP1	positive_fraction	0.14108713
gene	individual_2	macrophage	SPP1	total_counts	5802
gene	individual_2	macrophage	MSR1	positive_fraction	0.055755396
gene	individual_2	macrophage	MSR1	total_counts	1152
panel	individual_2	macrophage	ALL	positive_1_fraction	0.30555556
panel	individual_2	macrophage	ALL	positive_1_cells	1529
panel	individual_2	macrophage	ALL	positive_2_fraction	0.057753797
panel	individual_2	macrophage	ALL	positive_2_cells	289
panel	individual_2	macrophage	ALL	positive_3_fraction	0.0051958433
panel	individual_2	macrophage	ALL	positive_3_cells	26
panel	individual_2	macrophage	ALL	normscore_ge_1_fraction	0.29276579
panel	individual_2	macrophage	ALL	normscore_ge_5_fraction	0.13089528
panel	individual_2	macrophage	ALL	normscore_ge_10_fraction	0.080335731
panel	individual_2	macrophage	ALL	mean_normscore	3.0984665
gene	individual_2	Schwann cell	SOX10	positive_fraction	0.0083932854
gene	individual_2	Schwann cell	SOX10	total_counts	48
gene	individual_2	Schwann cell	MPZ	positive_fraction	0.0073940847
gene	individual_2	Schwann cell	MPZ	total_counts	38
gene	individual_2	Schwann cell	PMP22	positive_fraction	0.018185452
gene	individual_2	Schwann cell	PMP22	total_counts	117
gene	individual_2	Schwann cell	S100B	positive_fraction	0.011191047
gene	individual_2	Schwann cell	S100B	total_counts	71
gene	individual_2	Schwann cell	PLP1	positive_fraction	0.0097921663
gene	individual_2	Schwann cell	PLP1	total_counts	62
gene	individual_2	Schwann cell	S100A1	positive_fraction	0.026378897
gene	individual_2	Schwann cell	S100A1	total_counts	156
gene	individual_2	Schwann cell	GFAP	positive_fraction	0.023181455
gene	individual_2	Schwann cell	GFAP	total_counts	177
panel	individual_2	Schwann cell	ALL	positive_1_fraction	0.086730616
panel	individual_2	Schwann cell	ALL	positive_1_cells	434
panel	individual_2	Schwann cell	ALL	positive_2_fraction	0.014388489
panel	individual_2	Schwann cell	ALL	positive_2_cells	72
panel	individual_2	Schwann cell	ALL	positive_3_fraction	0.003197442
panel	individual_2	Schwann cell	ALL	positive_3_cells	16
panel	individual_2	Schwann cell	ALL	normscore_ge_1_fraction	0.07773781
panel	individual_2	Schwann cell	ALL	normscore_ge_5_fraction	0.011590727
panel	individual_2	Schwann cell	ALL	normscore_ge_10_fraction	0.0011990408
panel	individual_2	Schwann cell	ALL	mean_normscore	0.26318662
gene	individual_2	Pericyte	RGS5	positive_fraction	0.019384492
gene	individual_2	Pericyte	RGS5	total_counts	132
gene	individual_2	Pericyte	CSPG4	positive_fraction	0.00059952038
gene	individual_2	Pericyte	CSPG4	total_counts	6
gene	individual_2	Pericyte	MCAM	positive_fraction	0.017985612
gene	individual_2	Pericyte	MCAM	total_counts	111
gene	individual_2	Pericyte	PDGFRB	positive_fraction	0.033373301
gene	individual_2	Pericyte	PDGFRB	total_counts	249
gene	individual_2	Pericyte	NOTCH3	positive_fraction	0.0011990408
gene	individual_2	Pericyte	NOTCH3	total_counts	6
gene	individual_2	Pericyte	KCNJ8	positive_fraction	0.0025979217
gene	individual_2	Pericyte	KCNJ8	total_counts	14
gene	individual_2	Pericyte	ABCC9	positive_fraction	0.013988809
gene	individual_2	Pericyte	ABCC9	total_counts	108
panel	individual_2	Pericyte	ALL	positive_1_fraction	0.070943245
panel	individual_2	Pericyte	ALL	positive_1_cells	355
panel	individual_2	Pericyte	ALL	positive_2_fraction	0.01518785
panel	individual_2	Pericyte	ALL	positive_2_cells	76
panel	individual_2	Pericyte	ALL	positive_3_fraction	0.0029976019
panel	individual_2	Pericyte	ALL	positive_3_cells	15
panel	individual_2	Pericyte	ALL	normscore_ge_1_fraction	0.063749001
panel	individual_2	Pericyte	ALL	normscore_ge_5_fraction	0.012190248
panel	individual_2	Pericyte	ALL	normscore_ge_10_fraction	0.0017985612
panel	individual_2	Pericyte	ALL	mean_normscore	0.22733013
gene	individual_2	B cell	CD79A	positive_fraction	0.00059952038
gene	individual_2	B cell	CD79A	total_counts	3
gene	individual_2	B cell	CD79B	positive_fraction	0
gene	individual_2	B cell	CD79B	total_counts	0
gene	individual_2	B cell	MS4A1	positive_fraction	0
gene	individual_2	B cell	MS4A1	total_counts	0
gene	individual_2	B cell	CD37	positive_fraction	0.0083932854
gene	individual_2	B cell	CD37	total_counts	42
gene	individual_2	B cell	CD74	positive_fraction	0.020983213
gene	individual_2	B cell	CD74	total_counts	110
gene	individual_2	B cell	CD22	positive_fraction	0
gene	individual_2	B cell	CD22	total_counts	0
gene	individual_2	B cell	CD19	positive_fraction	0.00059952038
gene	individual_2	B cell	CD19	total_counts	3
panel	individual_2	B cell	ALL	positive_1_fraction	0.030375699
panel	individual_2	B cell	ALL	positive_1_cells	152
panel	individual_2	B cell	ALL	positive_2_fraction	0.00019984013
panel	individual_2	B cell	ALL	positive_2_cells	1
panel	individual_2	B cell	ALL	positive_3_fraction	0
panel	individual_2	B cell	ALL	positive_3_cells	0
panel	individual_2	B cell	ALL	normscore_ge_1_fraction	0.027178257
panel	individual_2	B cell	ALL	normscore_ge_5_fraction	0.00099920064
panel	individual_2	B cell	ALL	normscore_ge_10_fraction	0
panel	individual_2	B cell	ALL	mean_normscore	0.074944463
gene	individual_2	fibroblast	COL1A1	positive_fraction	0.00039968026
gene	individual_2	fibroblast	COL1A1	total_counts	2
gene	individual_2	fibroblast	COL1A2	positive_fraction	0.0041966427
gene	individual_2	fibroblast	COL1A2	total_counts	25
gene	individual_2	fibroblast	COL3A1	positive_fraction	0
gene	individual_2	fibroblast	COL3A1	total_counts	0
gene	individual_2	fibroblast	DCN	positive_fraction	0.0025979217
gene	individual_2	fibroblast	DCN	total_counts	24
gene	individual_2	fibroblast	LUM	positive_fraction	0.022981615
gene	individual_2	fibroblast	LUM	total_counts	147
gene	individual_2	fibroblast	PDGFRA	positive_fraction	0.020383693
gene	individual_2	fibroblast	PDGFRA	total_counts	199
gene	individual_2	fibroblast	COL6A1	positive_fraction	0.041966427
gene	individual_2	fibroblast	COL6A1	total_counts	316
panel	individual_2	fibroblast	ALL	positive_1_fraction	0.080135891
panel	individual_2	fibroblast	ALL	positive_1_cells	401
panel	individual_2	fibroblast	ALL	positive_2_fraction	0.011390887
panel	individual_2	fibroblast	ALL	positive_2_cells	57
panel	individual_2	fibroblast	ALL	positive_3_fraction	0.00099920064
panel	individual_2	fibroblast	ALL	positive_3_cells	5
panel	individual_2	fibroblast	ALL	normscore_ge_1_fraction	0.069144684
panel	individual_2	fibroblast	ALL	normscore_ge_5_fraction	0.012390088
panel	individual_2	fibroblast	ALL	normscore_ge_10_fraction	0.00099920064
panel	individual_2	fibroblast	ALL	mean_normscore	0.23548436
gene	individual_2	endothelial cell	PECAM1	positive_fraction	0.0013988809
gene	individual_2	endothelial cell	PECAM1	total_counts	7
gene	individual_2	endothelial cell	VWF	positive_fraction	0.0025979217
gene	individual_2	endothelial cell	VWF	total_counts	18
gene	individual_2	endothelial cell	EMCN	positive_fraction	0.003197442
gene	individual_2	endothelial cell	EMCN	total_counts	24
gene	individual_2	endothelial cell	KDR	positive_fraction	0.073141487
gene	individual_2	endothelial cell	KDR	total_counts	999
gene	individual_2	endothelial cell	CLDN5	positive_fraction	0.0037969624
gene	individual_2	endothelial cell	CLDN5	total_counts	28
gene	individual_2	endothelial cell	RAMP2	positive_fraction	0.0065947242
gene	individual_2	endothelial cell	RAMP2	total_counts	43
gene	individual_2	endothelial cell	ESAM	positive_fraction	0.020383693
gene	individual_2	endothelial cell	ESAM	total_counts	124
panel	individual_2	endothelial cell	ALL	positive_1_fraction	0.10551559
panel	individual_2	endothelial cell	ALL	positive_1_cells	528
panel	individual_2	endothelial cell	ALL	positive_2_fraction	0.0045963229
panel	individual_2	endothelial cell	ALL	positive_2_cells	23
panel	individual_2	endothelial cell	ALL	positive_3_fraction	0.00039968026
panel	individual_2	endothelial cell	ALL	positive_3_cells	2
panel	individual_2	endothelial cell	ALL	normscore_ge_1_fraction	0.10051958
panel	individual_2	endothelial cell	ALL	normscore_ge_5_fraction	0.036770584
panel	individual_2	endothelial cell	ALL	normscore_ge_10_fraction	0.0089928058
panel	individual_2	endothelial cell	ALL	mean_normscore	0.49775185
gene	individual_2	muller glia cell	GLUL	positive_fraction	0.23181455
gene	individual_2	muller glia cell	GLUL	total_counts	8446
gene	individual_2	muller glia cell	RLBP1	positive_fraction	0.13009592
gene	individual_2	muller glia cell	RLBP1	total_counts	3648
gene	individual_2	muller glia cell	SLC1A3	positive_fraction	0.095523581
gene	individual_2	muller glia cell	SLC1A3	total_counts	2560
gene	individual_2	muller glia cell	CLU	positive_fraction	0.25799361
gene	individual_2	muller glia cell	CLU	total_counts	8099
gene	individual_2	muller glia cell	APOE	positive_fraction	0.20743405
gene	individual_2	muller glia cell	APOE	total_counts	6203
gene	individual_2	muller glia cell	AQP4	positive_fraction	0.060551559
gene	individual_2	muller glia cell	AQP4	total_counts	677
gene	individual_2	muller glia cell	SLC1A2	positive_fraction	0.68285372
gene	individual_2	muller glia cell	SLC1A2	total_counts	10078
panel	individual_2	muller glia cell	ALL	positive_1_fraction	0.85731415
panel	individual_2	muller glia cell	ALL	positive_1_cells	4290
panel	individual_2	muller glia cell	ALL	positive_2_fraction	0.39508393
panel	individual_2	muller glia cell	ALL	positive_2_cells	1977
panel	individual_2	muller glia cell	ALL	positive_3_fraction	0.16706635
panel	individual_2	muller glia cell	ALL	positive_3_cells	836
panel	individual_2	muller glia cell	ALL	normscore_ge_1_fraction	0.85371703
panel	individual_2	muller glia cell	ALL	normscore_ge_5_fraction	0.62010392
panel	individual_2	muller glia cell	ALL	normscore_ge_10_fraction	0.37609912
panel	individual_2	muller glia cell	ALL	mean_normscore	17.10118
