tf	match_radius	q_threshold	dnase_mode	dnase_expansion	reproducible_pairs	closed_pairs	closed_fraction	closed_qsum	total_qsum	closed_q_fraction	closed_fesum	total_fesum	closed_fe_fraction	median_closed_q	median_all_q	median_closed_fe	median_all_fe	median_summit_distance
TF6	250	3.00000	rep2	250	9668	3907	0.40411667	46386.723180	142225.645590	0.32614880	31788.925310	86903.185060	0.36579701	8.736330	10.493900	7.134630	7.693080	32.000
TF1	250	3.00000	rep2	500	62253	46829	0.75223684	512904.960830	706169.379300	0.72632002	232567.310740	311755.825790	0.74599187	8.379370	8.830180	4.515530	4.544710	47.000
TF2	250	3.00000	rep2	500	4924	1792	0.36393176	14805.396590	40488.799540	0.36566647	10600.811190	29066.457650	0.36470943	6.436410	6.260440	5.400715	5.345350	46.000
TF3	250	3.00000	rep2	500	10991	1793	0.16313347	22091.716710	178765.442820	0.12357935	11909.586540	81111.890860	0.14682911	8.606740	10.727700	5.812470	6.270430	29.000
TF4	250	3.00000	rep2	500	127815	108876	0.85182490	800256.142460	954291.502860	0.83858668	461235.343630	544495.343470	0.84708777	6.352720	6.396530	3.992310	4.009910	62.000
TF5	250	3.00000	rep2	500	5316	1554	0.29232506	11652.648710	40027.267340	0.29111777	10307.049940	35259.016590	0.29232381	6.530530	6.563690	6.079840	6.112050	40.000
TF6	250	3.00000	rep2	500	9668	3497	0.36170873	41241.156890	142225.645590	0.28996990	28449.842670	86903.185060	0.32737399	8.775060	10.493900	7.137900	7.693080	32.000
TF1	500	1.30103	union	0	70526	60058	0.85157247	617851.187620	742137.693750	0.83252905	286394.476240	338675.965700	0.84562976	7.751220	8.088730	4.335990	4.374320	52.000
TF2	500	1.30103	union	0	6346	3828	0.60321462	25689.088040	44541.705940	0.57674235	20381.053350	34556.811480	0.58978397	5.003670	5.177930	4.843510	4.926590	56.000
TF3	500	1.30103	union	0	11829	4183	0.35362245	52938.667590	182120.548490	0.29067927	26991.136570	84378.335260	0.31988231	7.861190	10.115100	5.490920	6.061900	31.000
TF4	500	1.30103	union	0	164637	155448	0.94418630	1025729.840930	1096329.898860	0.93560327	620256.297180	659349.492480	0.94070945	5.669020	5.747170	3.766320	3.771420	74.000
TF5	500	1.30103	union	0	6227	3768	0.60510679	25517.463440	42864.088300	0.59531100	23598.836620	39297.775590	0.60051329	5.691970	5.691970	5.894100	5.969400	45.000
TF6	500	1.30103	union	0	10438	6679	0.63987354	81655.968920	145232.457750	0.56224325	54122.560590	90403.343370	0.59867875	8.634860	9.704780	7.032660	7.394980	34.000
TF1	500	1.30103	union	250	70526	52163	0.73962794	524930.739280	742137.693750	0.70732257	247410.833300	338675.965700	0.73052374	7.626970	8.088730	4.315970	4.374320	52.000
TF2	500	1.30103	union	250	6346	2098	0.33060195	14709.341840	44541.705940	0.33023751	11418.629160	34556.811480	0.33043063	5.233620	5.177930	4.956090	4.926590	56.000
TF3	500	1.30103	union	250	11829	1857	0.15698707	20412.624450	182120.548490	0.11208304	11544.859400	84378.335260	0.13682255	7.761850	10.115100	5.543560	6.061900	31.000
TF4	500	1.30103	union	250	164637	141649	0.86037161	924315.445390	1096329.898860	0.84309973	562978.125780	659349.492480	0.85383872	5.604440	5.747170	3.756240	3.771420	74.000
TF5	500	1.30103	union	250	6227	1980	0.31797013	13564.195540	42864.088300	0.31644661	12451.756240	39297.775590	0.31685652	5.691970	5.691970	5.969400	5.969400	45.000
TF6	500	1.30103	union	250	10438	3902	0.37382640	42983.656000	145232.457750	0.29596453	30344.187540	90403.343370	0.33565338	8.136650	9.704780	6.768300	7.394980	34.000
TF1	500	1.30103	union	500	70526	50665	0.71838755	509036.794450	742137.693750	0.68590613	240292.029810	338675.965700	0.70950423	7.626970	8.088730	4.318430	4.374320	52.000
TF2	500	1.30103	union	500	6346	1905	0.30018910	13546.341500	44541.705940	0.30412714	10438.342780	34556.811480	0.30206325	5.303390	5.177930	5.007290	4.926590	56.000
TF3	500	1.30103	union	500	11829	1639	0.13855778	18396.271280	182120.548490	0.10101151	10328.763640	84378.335260	0.12241014	7.837170	10.115100	5.624080	6.061900	31.000
TF4	500	1.30103	union	500	164637	136544	0.82936399	888508.752780	1096329.898860	0.81043922	542228.969730	659349.492480	0.82236959	5.564740	5.747170	3.753520	3.771420	74.000
TF5	500	1.30103	union	500	6227	1694	0.27204111	11600.634090	42864.088300	0.27063760	10665.599710	39297.775590	0.27140467	5.691970	5.691970	6.072860	5.969400	45.000
TF6	500	1.30103	union	500	10438	3451	0.33061889	37751.474380	145232.457750	0.25993827	26844.383330	90403.343370	0.29694016	8.103110	9.704780	6.796520	7.394980	34.000
TF1	500	1.30103	rep1	0	70526	61751	0.87557780	637946.947690	742137.693750	0.85960726	294857.797200	338675.965700	0.87061920	7.779130	8.088730	4.344660	4.374320	52.000
TF2	500	1.30103	rep1	0	6346	4152	0.65427041	28021.434120	44541.705940	0.62910554	22185.296280	34556.811480	0.64199489	5.007330	5.177930	4.849680	4.926590	56.000
TF3	500	1.30103	rep1	0	11829	5369	0.45388452	71129.845220	182120.548490	0.39056463	35549.243220	84378.335260	0.42130771	8.564280	10.115100	5.633580	6.061900	31.000
TF4	500	1.30103	rep1	0	164637	157333	0.95563573	1039427.887340	1096329.898860	0.94809773	628100.959870	659349.492480	0.95260703	5.691040	5.747170	3.766370	3.771420	74.000
TF5	500	1.30103	rep1	0	6227	4325	0.69455597	29415.112980	42864.088300	0.68624142	27140.979000	39297.775590	0.69064924	5.691970	5.691970	5.949390	5.969400	45.000
TF6	500	1.30103	rep1	0	10438	7563	0.72456409	96016.335400	145232.457750	0.66112174	62602.029150	90403.343370	0.69247471	8.973390	9.704780	7.161900	7.394980	34.000
TF1	500	1.30103	rep1	250	70526	54185	0.76829822	547219.860650	742137.693750	0.73735624	257170.795920	338675.965700	0.75934174	7.645860	8.088730	4.326310	4.374320	52.000
TF2	500	1.30103	rep1	250	6346	2384	0.37566971	16597.703910	44541.705940	0.37263287	12948.681380	34556.811480	0.37470706	5.176370	5.177930	4.939790	4.926590	56.000
TF3	500	1.30103	rep1	250	11829	2805	0.23712909	33303.395110	182120.548490	0.18286457	18034.079530	84378.335260	0.21372879	7.984870	10.115100	5.616490	6.061900	31.000
TF4	500	1.30103	rep1	250	164637	145249	0.88223789	949354.960910	1096329.898860	0.86593913	577567.007150	659349.492480	0.87596489	5.625420	5.747170	3.756870	3.771420	74.000
TF5	500	1.30103	rep1	250	6227	2602	0.41785772	17576.056320	42864.088300	0.41004153	16272.580310	39297.775590	0.41408401	5.691970	5.691970	5.962945	5.969400	45.000
TF6	500	1.30103	rep1	250	10438	4851	0.46474420	56651.043870	145232.457750	0.39007151	38857.723260	90403.343370	0.42982617	8.411060	9.704780	7.032350	7.394980	34.000
TF1	500	1.30103	rep1	500	70526	52922	0.75038993	533574.361150	742137.693750	0.71896949	251149.325090	338675.965700	0.74156229	7.643060	8.088730	4.326310	4.374320	52.000
TF2	500	1.30103	rep1	500	6346	2189	0.34494170	15447.937640	44541.705940	0.34681962	11960.022910	34556.811480	0.34609741	5.227730	5.177930	4.968900	4.926590	56.000
TF3	500	1.30103	rep1	500	11829	2537	0.21447291	30450.497530	182120.548490	0.16719968	16452.522610	84378.335260	0.19498515	8.123530	10.115100	5.687660	6.061900	31.000
TF4	500	1.30103	rep1	500	164637	141032	0.85662397	919119.803820	1096329.898860	0.83836061	560297.636480	659349.492480	0.84977336	5.592880	5.747170	3.756240	3.771420	74.000
TF5	500	1.30103	rep1	500	6227	2267	0.36405974	15301.998370	42864.088300	0.35698877	14184.977540	39297.775590	0.36096134	5.691970	5.691970	5.969400	5.969400	45.000
TF6	500	1.30103	rep1	500	10438	4376	0.41923740	50785.912750	145232.457750	0.34968707	35054.959430	90403.343370	0.38776176	8.406620	9.704780	7.032350	7.394980	34.000
TF1	500	1.30103	rep2	0	70526	62170	0.88151887	642622.524980	742137.693750	0.86590741	296926.331820	338675.965700	0.87672691	7.817460	8.088730	4.349150	4.374320	52.000
TF2	500	1.30103	rep2	0	6346	4229	0.66640403	28789.116520	44541.705940	0.64634068	22668.889860	34556.811480	0.65598905	5.032160	5.177930	4.862180	4.926590	56.000
TF3	500	1.30103	rep2	0	11829	4806	0.40628963	61139.636070	182120.548490	0.33570971	31164.912600	84378.335260	0.36934733	7.985065	10.115100	5.510820	6.061900	31.000
TF4	500	1.30103	rep2	0	164637	157663	0.95764014	1043071.754210	1096329.898860	0.95142142	629728.515840	659349.492480	0.95507545	5.691540	5.747170	3.768230	3.771420	74.000
TF5	500	1.30103	rep2	0	6227	3974	0.63818853	26885.520280	42864.088300	0.62722716	24876.207290	39297.775590	0.63301820	5.691970	5.691970	5.894100	5.969400	45.000
TF6	500	1.30103	rep2	0	10438	7105	0.68068596	87941.515370	145232.457750	0.60552246	57923.510220	90403.343370	0.64072310	8.775060	9.704780	7.072650	7.394980	34.000
TF1	500	1.30103	rep2	250	70526	54714	0.77579900	555420.042060	742137.693750	0.74840565	260311.325980	338675.965700	0.76861470	7.677010	8.088730	4.334020	4.374320	52.000
TF2	500	1.30103	rep2	250	6346	2444	0.38512449	17243.260430	44541.705940	0.38712618	13322.745430	34556.811480	0.38553168	5.267910	5.177930	4.966545	4.926590	56.000
TF3	500	1.30103	rep2	250	11829	2196	0.18564545	24775.767400	182120.548490	0.13604048	13832.741830	84378.335260	0.16393713	7.791240	10.115100	5.598930	6.061900	31.000
TF4	500	1.30103	rep2	250	164637	145334	0.88275418	952550.787750	1096329.898860	0.86885415	578565.524010	659349.492480	0.87747929	5.644740	5.747170	3.761440	3.771420	74.000
TF5	500	1.30103	rep2	250	6227	2109	0.33868637	14482.474080	42864.088300	0.33786964	13278.002990	39297.775590	0.33788180	5.691970	5.691970	5.969400	5.969400	45.000
TF6	500	1.30103	rep2	250	10438	4268	0.40889059	47497.969550	145232.457750	0.32704789	33329.210140	90403.343370	0.36867232	8.180460	9.704780	6.821280	7.394980	34.000
TF1	500	1.30103	rep2	500	70526	53331	0.75618921	540374.405950	742137.693750	0.72813227	253669.223960	338675.965700	0.74900273	7.672290	8.088730	4.332600	4.374320	52.000
TF2	500	1.30103	rep2	500	6346	2237	0.35250552	16005.979830	44541.705940	0.35934815	12278.799260	34556.811480	0.35532211	5.384510	5.177930	5.012900	4.926590	56.000
TF3	500	1.30103	rep2	500	11829	1964	0.16603263	22673.234380	182120.548490	0.12449575	12560.380500	84378.335260	0.14885788	7.933520	10.115100	5.683370	6.061900	31.000
TF4	500	1.30103	rep2	500	164637	140650	0.85430371	919472.827180	1096329.898860	0.83868262	559447.574010	659349.492480	0.84848412	5.626380	5.747170	3.759260	3.771420	74.000
TF5	500	1.30103	rep2	500	6227	1807	0.29018789	12372.213130	42864.088300	0.28863820	11374.868930	39297.775590	0.28945325	5.691970	5.691970	6.043090	5.969400	45.000
TF6	500	1.30103	rep2	500	10438	3806	0.36462924	42152.873090	145232.457750	0.29024416	29752.824960	90403.343370	0.32911200	8.180460	9.704780	6.890325	7.394980	34.000
TF1	500	2.00000	union	0	69334	58992	0.85083797	616043.151240	740118.004720	0.83235801	283846.598340	335833.435250	0.84520053	7.928780	8.202570	4.373860	4.405410	52.000
TF2	500	2.00000	union	0	6039	3617	0.59894022	25327.356510	44017.236770	0.57539633	19691.143110	33551.818650	0.58688750	5.216560	5.390450	4.926100	5.013530	54.000
TF3	500	2.00000	union	0	11659	4083	0.35020156	52770.555040	181835.065040	0.29021110	26687.843990	83868.202180	0.31821171	8.080020	10.215500	5.552320	6.066930	31.000
TF4	500	2.00000	union	0	158824	149840	0.94343424	1016310.945350	1086565.401920	0.93534263	607277.396450	645901.238580	0.94020163	5.779580	5.798720	3.814940	3.837550	73.000
TF5	500	2.00000	union	0	6062	3656	0.60310129	25327.553650	42584.233630	0.59476364	23203.628300	38710.770710	0.59941014	5.691970	5.691970	5.969400	6.072860	44.000
TF6	500	2.00000	union	0	10313	6580	0.63802967	81488.638930	145020.221150	0.56191225	53776.489730	89967.545140	0.59773210	8.773110	9.868540	7.079920	7.444970	34.000
TF1	500	2.00000	union	250	69334	51246	0.73911789	523378.215200	740118.004720	0.70715509	245214.887140	335833.435250	0.73016818	7.751220	8.202570	4.355000	4.405410	52.000
TF2	500	2.00000	union	250	6039	1998	0.33084948	14535.486010	44017.236770	0.33022259	11091.857410	33551.818650	0.33058886	5.555425	5.390450	5.054180	5.013530	54.000
TF3	500	2.00000	union	250	11659	1816	0.15575950	20344.479410	181835.065040	0.11188425	11418.923080	83868.202180	0.13615319	7.787630	10.215500	5.598930	6.066930	31.000
TF4	500	2.00000	union	250	158824	136420	0.85893820	915523.328200	1086565.401920	0.84258465	550861.283110	645901.238580	0.85285683	5.777210	5.798720	3.808300	3.837550	73.000
TF5	500	2.00000	union	250	6062	1913	0.31557242	13450.783480	42584.233630	0.31586299	12217.180890	38710.770710	0.31560159	5.691970	5.691970	6.072860	6.072860	44.000
TF6	500	2.00000	union	250	10313	3844	0.37273344	42886.235580	145020.221150	0.29572590	30140.411840	89967.545140	0.33501427	8.180460	9.868540	6.866770	7.444970	34.000
TF1	500	2.00000	union	500	69334	49777	0.71793060	507533.115080	740118.004720	0.68574621	238164.353160	335833.435250	0.70917404	7.748580	8.202570	4.357260	4.405410	52.000
TF2	500	2.00000	union	500	6039	1818	0.30104322	13395.091210	44017.236770	0.30431468	10154.765200	33551.818650	0.30265916	5.583150	5.390450	5.090220	5.013530	54.000
TF3	500	2.00000	union	500	11659	1605	0.13766189	18340.205330	181835.065040	0.10086176	10223.631970	83868.202180	0.12190117	7.928240	10.215500	5.679080	6.066930	31.000
TF4	500	2.00000	union	500	158824	131465	0.82774014	879967.923190	1086565.401920	0.80986190	530455.644800	645901.238580	0.82126433	5.766910	5.798720	3.803590	3.837550	73.000
TF5	500	2.00000	union	500	6062	1640	0.27053778	11509.737720	42584.233630	0.27028167	10478.396730	38710.770710	0.27068427	5.831910	5.691970	6.072860	6.072860	44.000
TF6	500	2.00000	union	500	10313	3404	0.33006885	37672.823310	145020.221150	0.25977635	26678.606540	89967.545140	0.29653590	8.171430	9.868540	6.879270	7.444970	34.000
TF1	500	2.00000	rep1	0	69334	60661	0.87490986	636100.034500	740118.004720	0.85945759	292255.024580	335833.435250	0.87023802	7.988280	8.202570	4.376380	4.405410	52.000
TF2	500	2.00000	rep1	0	6039	3927	0.65027322	27635.801370	44017.236770	0.62784044	21450.200880	33551.818650	0.63931559	5.243540	5.390450	4.945180	5.013530	54.000
TF3	500	2.00000	rep1	0	11659	5252	0.45046745	70933.253570	181835.065040	0.39009667	35194.818240	83868.202180	0.41964436	8.619710	10.215500	5.712200	6.066930	31.000
TF4	500	2.00000	rep1	0	158824	151668	0.95494384	1029915.196510	1086565.401920	0.94786305	614993.145510	645901.238580	0.95214734	5.779580	5.798720	3.818170	3.837550	73.000
TF5	500	2.00000	rep1	0	6062	4208	0.69416034	29216.930170	42584.233630	0.68609736	26728.230320	38710.770710	0.69045978	5.691970	5.691970	5.969400	6.072860	44.000
TF6	500	2.00000	rep1	0	10313	7459	0.72326190	95839.590010	145020.221150	0.66087053	62237.718170	89967.545140	0.69177966	9.118170	9.868540	7.198190	7.444970	34.000
TF1	500	2.00000	rep1	250	69334	53231	0.76774743	545605.179130	740118.004720	0.73718674	254888.803570	335833.435250	0.75897387	7.775870	8.202570	4.358070	4.405410	52.000
TF2	500	2.00000	rep1	250	6039	2268	0.37555887	16394.585910	44017.236770	0.37245832	12568.585450	33551.818650	0.37460221	5.447205	5.390450	5.048280	5.013530	54.000
TF3	500	2.00000	rep1	250	11659	2739	0.23492581	33192.159030	181835.065040	0.18253992	17831.883890	83868.202180	0.21261793	8.197200	10.215500	5.679080	6.066930	31.000
TF4	500	2.00000	rep1	250	158824	139907	0.88089332	940372.683070	1086565.401920	0.86545429	565191.903440	645901.238580	0.87504385	5.777210	5.798720	3.808300	3.837550	73.000
TF5	500	2.00000	rep1	250	6062	2520	0.41570439	17437.277080	42584.233630	0.40947730	15982.809130	38710.770710	0.41287757	5.691970	5.691970	6.053300	6.072860	44.000
TF6	500	2.00000	rep1	250	10313	4782	0.46368661	56534.522160	145020.221150	0.38983889	38615.561040	89967.545140	0.42921657	8.533705	9.868540	7.054320	7.444970	34.000
TF1	500	2.00000	rep1	500	69334	51990	0.74984856	531996.859200	740118.004720	0.71880005	248919.329190	335833.435250	0.74119877	7.763030	8.202570	4.360030	4.405410	52.000
TF2	500	2.00000	rep1	500	6039	2088	0.34575261	15271.247660	44017.236770	0.34693790	11629.327670	33551.818650	0.34660797	5.521720	5.390450	5.069930	5.013530	54.000
TF3	500	2.00000	rep1	500	11659	2478	0.21253967	30351.696970	181835.065040	0.16691883	16272.150360	83868.202180	0.19402050	8.401310	10.215500	5.753810	6.066930	31.000
TF4	500	2.00000	rep1	500	158824	135814	0.85512265	910341.865180	1086565.401920	0.83781599	548204.710150	645901.238580	0.84874386	5.771750	5.798720	3.808300	3.837550	73.000
TF5	500	2.00000	rep1	500	6062	2201	0.36308149	15190.308860	42584.233630	0.35671204	13954.207940	38710.770710	0.36047352	5.691970	5.691970	6.072860	6.072860	44.000
TF6	500	2.00000	rep1	500	10313	4318	0.41869485	50688.319720	145020.221150	0.34952588	34851.070190	89967.545140	0.38737380	8.528690	9.868540	7.066810	7.444970	34.000
TF1	500	2.00000	rep2	0	69334	61072	0.88083768	640760.776000	740118.004720	0.86575488	294303.560530	335833.435250	0.87633788	8.009120	8.202570	4.377790	4.405410	52.000
TF2	500	2.00000	rep2	0	6039	4009	0.66385163	28412.502300	44017.236770	0.64548582	21949.759070	33551.818650	0.65420475	5.267910	5.390450	4.950660	5.013530	54.000
TF3	500	2.00000	rep2	0	11659	4695	0.40269320	60952.608430	181835.065040	0.33520822	30828.290410	83868.202180	0.36758020	8.262800	10.215500	5.583480	6.066930	31.000
TF4	500	2.00000	rep2	0	158824	152005	0.95706568	1033568.121370	1086565.401920	0.95122495	616633.117510	645901.238580	0.95468638	5.779580	5.798720	3.821870	3.837550	73.000
TF5	500	2.00000	rep2	0	6062	3855	0.63592874	26683.188950	42584.233630	0.62659784	24455.490880	38710.770710	0.63174901	5.691970	5.691970	5.969400	6.072860	44.000
TF6	500	2.00000	rep2	0	10313	6999	0.67865800	87761.061520	145020.221150	0.60516431	57551.985290	89967.545140	0.63969718	8.891120	9.868540	7.129610	7.444970	34.000
TF1	500	2.00000	rep2	250	69334	53757	0.77533389	553799.541710	740118.004720	0.74825844	258020.806570	335833.435250	0.76829994	7.843010	8.202570	4.368660	4.405410	52.000
TF2	500	2.00000	rep2	250	6039	2332	0.38615665	17049.675170	44017.236770	0.38734088	12958.645470	33551.818650	0.38622781	5.579290	5.390450	5.054180	5.013530	54.000
TF3	500	2.00000	rep2	250	11659	2149	0.18432113	24697.374020	181835.065040	0.13582294	13688.689360	83868.202180	0.16321668	7.861280	10.215500	5.629010	6.066930	31.000
TF4	500	2.00000	rep2	250	158824	140017	0.88158591	943610.817830	1086565.401920	0.86843444	566247.145280	645901.238580	0.87667760	5.777210	5.798720	3.810840	3.837550	73.000
TF5	500	2.00000	rep2	250	6062	2038	0.33619268	14362.196810	42584.233630	0.33726559	13028.623280	38710.770710	0.33656326	5.691970	5.691970	6.072860	6.072860	44.000
TF6	500	2.00000	rep2	250	10313	4203	0.40754388	47388.112070	145020.221150	0.32676900	33100.226630	89967.545140	0.36791297	8.307900	9.868540	6.906240	7.444970	34.000
TF1	500	2.00000	rep2	500	69334	52406	0.75584850	538808.624410	740118.004720	0.72800367	251453.685930	335833.435250	0.74874524	7.835470	8.202570	4.368660	4.405410	52.000
TF2	500	2.00000	rep2	500	6039	2139	0.35419771	15836.344980	44017.236770	0.35977599	11960.642370	33551.818650	0.35648268	5.660750	5.390450	5.089950	5.013530	54.000
TF3	500	2.00000	rep2	500	11659	1926	0.16519427	22610.335470	181835.065040	0.12434530	12442.946220	83868.202180	0.14836310	8.122985	10.215500	5.723065	6.066930	31.000
TF4	500	2.00000	rep2	500	158824	135469	0.85295044	910760.921650	1086565.401920	0.83820166	547442.020870	645901.238580	0.84756305	5.777210	5.798720	3.808300	3.837550	73.000
TF5	500	2.00000	rep2	500	6062	1749	0.28851864	12274.451550	42584.233630	0.28823934	11172.861590	38710.770710	0.28862411	5.691970	5.691970	6.072860	6.072860	44.000
TF6	500	2.00000	rep2	500	10313	3754	0.36400659	42065.725230	145020.221150	0.29006800	29569.425370	89967.545140	0.32866769	8.310460	9.868540	6.947235	7.444970	34.000
TF1	500	3.00000	union	0	65256	55298	0.84740101	606618.715870	729710.877380	0.83131379	273627.948440	324579.308030	0.84302339	8.324000	8.562595	4.484470	4.514410	50.000
TF2	500	3.00000	union	0	5179	3058	0.59046148	23912.933600	41826.776000	0.57171353	17597.932190	30321.275100	0.58038233	5.906830	6.082980	5.221320	5.303930	49.000
TF3	500	3.00000	union	0	11233	3842	0.34202795	52156.238570	180748.953070	0.28855624	25850.520310	82396.425860	0.31373352	8.618140	10.559900	5.715150	6.224290	30.000
TF4	500	3.00000	union	0	141652	133322	0.94119391	974356.479110	1042938.009580	0.93424199	562558.156470	599424.837100	0.93849657	6.308390	6.353200	3.971560	3.987610	71.000
TF5	500	3.00000	union	0	5560	3329	0.59874101	24528.851400	41350.228880	0.59319748	21858.294840	36647.527680	0.59644664	6.096230	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	union	0	9880	6238	0.63137652	80622.013930	143922.744360	0.56017563	52408.503650	88242.184050	0.59391666	9.236290	10.312400	7.241335	7.610270	33.000
TF1	500	3.00000	union	250	65256	48000	0.73556455	515101.289620	729710.877380	0.70589778	236208.995770	324579.308030	0.72773892	8.265000	8.562595	4.461410	4.514410	50.000
TF2	500	3.00000	union	250	5179	1721	0.33230353	13835.807700	41826.776000	0.33078829	10057.316340	30321.275100	0.33169173	6.290000	6.082980	5.344870	5.303930	49.000
TF3	500	3.00000	union	250	11233	1710	0.15223004	20078.697260	180748.953070	0.11108611	11046.680820	82396.425860	0.13406748	8.190280	10.559900	5.720210	6.224290	30.000
TF4	500	3.00000	union	250	141652	121145	0.85522972	876733.766660	1042938.009580	0.84063843	509475.780250	599424.837100	0.84994106	6.268730	6.353200	3.964170	3.987610	71.000
TF5	500	3.00000	union	250	5560	1762	0.31690647	13082.962120	41350.228880	0.31639395	11601.544070	36647.527680	0.31657099	6.166335	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	union	250	9880	3639	0.36831984	42365.140490	143922.744360	0.29436029	29315.154540	88242.184050	0.33221248	8.528690	10.312400	7.056160	7.610270	33.000
TF1	500	3.00000	union	500	65256	46620	0.71441707	499484.064820	729710.877380	0.68449585	229402.866160	324579.308030	0.70676984	8.261780	8.562595	4.461410	4.514410	50.000
TF2	500	3.00000	union	500	5179	1579	0.30488511	12782.956720	41826.776000	0.30561659	9265.555130	30321.275100	0.30557934	6.290000	6.082980	5.359560	5.303930	49.000
TF3	500	3.00000	union	500	11233	1519	0.13522656	18123.148680	180748.953070	0.10026696	9917.740660	82396.425860	0.12036615	8.401980	10.559900	5.792360	6.224290	30.000
TF4	500	3.00000	union	500	141652	116689	0.82377234	842448.700900	1042938.009580	0.80776488	490413.988550	599424.837100	0.81814092	6.261370	6.353200	3.960630	3.987610	71.000
TF5	500	3.00000	union	500	5560	1509	0.27140288	11190.097760	41350.228880	0.27061755	9944.883140	36647.527680	0.27136573	6.386460	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	union	500	9880	3226	0.32651822	37221.302760	143922.744360	0.25862002	25961.939780	88242.184050	0.29421234	8.524640	10.312400	7.061810	7.610270	33.000
TF1	500	3.00000	rep1	0	65256	56888	0.87176658	626472.110900	729710.877380	0.85852100	281820.761160	324579.308030	0.86826472	8.352640	8.562595	4.490400	4.514410	50.000
TF2	500	3.00000	rep1	0	5179	3319	0.64085731	26093.504970	41826.776000	0.62384691	19169.704750	30321.275100	0.63221961	5.925290	6.082980	5.238410	5.303930	49.000
TF3	500	3.00000	rep1	0	11233	4980	0.44333660	70239.573300	180748.953070	0.38860293	34248.710370	82396.425860	0.41565772	9.188335	10.559900	5.811950	6.224290	30.000
TF4	500	3.00000	rep1	0	141652	135014	0.95313868	987618.740990	1042938.009580	0.94695824	569907.876880	599424.837100	0.95075786	6.319490	6.353200	3.971650	3.987610	71.000
TF5	500	3.00000	rep1	0	5560	3832	0.68920863	28296.248660	41350.228880	0.68430694	25181.316370	36647.527680	0.68712183	6.132170	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	rep1	0	9880	7102	0.71882591	94934.101740	143922.744360	0.65961848	60809.144330	88242.184050	0.68911649	9.525990	10.312400	7.378960	7.610270	33.000
TF1	500	3.00000	rep1	250	65256	49882	0.76440481	537062.370080	729710.877380	0.73599337	245601.697050	324579.308030	0.75667700	8.267950	8.562595	4.463520	4.514410	50.000
TF2	500	3.00000	rep1	250	5179	1935	0.37362425	15550.140030	41826.776000	0.37177477	11318.703060	30321.275100	0.37329245	6.290000	6.082980	5.344870	5.303930	49.000
TF3	500	3.00000	rep1	250	11233	2589	0.23048162	32811.314970	180748.953070	0.18152976	17302.224500	82396.425860	0.20998756	8.608260	10.559900	5.807960	6.224290	30.000
TF4	500	3.00000	rep1	250	141652	124291	0.87743908	900715.365640	1042938.009580	0.86363270	522893.864090	599424.837100	0.87232599	6.270930	6.353200	3.965830	3.987610	71.000
TF5	500	3.00000	rep1	250	5560	2307	0.41492806	16917.030020	41350.228880	0.40911575	15109.909930	36647.527680	0.41230366	6.132170	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	rep1	250	9880	4547	0.46022267	55935.803350	143922.744360	0.38865159	37669.246740	88242.184050	0.42688480	8.949360	10.312400	7.198190	7.610270	33.000
TF1	500	3.00000	rep1	500	65256	48717	0.74655204	523648.920490	729710.877380	0.71761150	239840.389960	324579.308030	0.73892692	8.267950	8.562595	4.464800	4.514410	50.000
TF2	500	3.00000	rep1	500	5179	1786	0.34485422	14496.363170	41826.776000	0.34658094	10496.950390	30321.275100	0.34619093	6.315485	6.082980	5.367825	5.303930	49.000
TF3	500	3.00000	rep1	500	11233	2353	0.20947209	30033.174990	180748.953070	0.16615961	15825.820790	82396.425860	0.19206926	8.619710	10.559900	5.821390	6.224290	30.000
TF4	500	3.00000	rep1	500	141652	120606	0.85142462	871729.859840	1042938.009580	0.83584053	507005.420330	599424.837100	0.84581984	6.261370	6.353200	3.960630	3.987610	71.000
TF5	500	3.00000	rep1	500	5560	2010	0.36151079	14723.480220	41350.228880	0.35606768	13173.136590	36647.527680	0.35945499	6.147445	6.386460	6.072860	6.072860	42.000
TF6	500	3.00000	rep1	500	9880	4109	0.41589069	50155.316250	143922.744360	0.34848777	34007.978000	88242.184050	0.38539366	8.941580	10.312400	7.219370	7.610270	33.000
TF1	500	3.00000	rep2	0	65256	57300	0.87808018	631135.721020	729710.877380	0.86491204	283870.597640	324579.308030	0.87458008	8.358375	8.562595	4.490400	4.514410	50.000
TF2	500	3.00000	rep2	0	5179	3403	0.65707666	26878.289850	41826.776000	0.64260965	19680.679400	30321.275100	0.64907163	5.955240	6.082980	5.230650	5.303930	49.000
TF3	500	3.00000	rep2	0	11233	4432	0.39455177	60282.604420	180748.953070	0.33351565	29914.696020	82396.425860	0.36305818	8.660870	10.559900	5.732405	6.224290	30.000
TF4	500	3.00000	rep2	0	141652	135309	0.95522125	991158.059130	1042938.009580	0.95035184	571438.481850	599424.837100	0.95331132	6.319490	6.353200	3.971650	3.987610	71.000
TF5	500	3.00000	rep2	0	5560	3509	0.63111511	25837.127920	41350.228880	0.62483639	23032.409990	36647.527680	0.62848469	6.052940	6.386460	6.072860	6.072860	42.000
